,abv,ibu,id,name,style,brewery_id
1650,0.06,20.0,1791,Hot Date Ale,Chile Beer,314
1651,0.07,,1540,Masked Bandit IPA,American Black Ale,314
1652,0.06,24.0,1491,Sweet Potato Ale,Fruit / Vegetable Beer,314
1653,0.045,18.0,1335,Float Trip Ale,American Blonde Ale,314
1654,0.055,25.0,847,Old Tom Porter,American Porter,314
1655,0.045,18.0,846,Black Walnut Wheat,American Dark Wheat Ale,314
1656,0.055,20.0,521,McKinney Eddy Amber Ale,American Amber / Red Ale,314
1657,0.07,70.0,479,Missouri Mule India Pale Ale,American IPA,314
1658,0.065,,2559,Blood of the Unicorn,American Amber / Red Ale,52
1659,0.069,51.0,1760,GreyBeard™ IPA,American IPA,324
1660,0.057,31.0,1759,Pisgah Pale Ale,American Pale Ale (APA),324
1661,0.045,,1589,PONTO S.I.P.A.,American IPA,370
1662,0.049,,1457,Chronic Ale,American Amber / Red Ale,370
1663,0.068,,1191,Swami's India Pale Ale,American IPA,370
1664,0.05,,2336,New Cleveland Palesner,American Pilsner,147
1665,0.054000000000000006,45.0,2553,Mazzie,American Pale Ale (APA),55
1666,0.099,,1909,Big Chuck Barleywine,American Barleywine,274
1667,,,335,Ponderosa IPA,American IPA,548
1668,,,64,Liquid Amber Ale,American Amber / Red Ale,548
1669,0.059,14.0,2360,Morning Wood Wheat (Current),American Pale Wheat Ale,135
1670,0.069,17.0,1463,Hideout Helles,Munich Helles Lager,135
1671,0.06,15.0,1462,Dead Eye Dunkel,Munich Dunkel Lager,135
1672,0.058,21.0,1461,Peacemaker Pilsner,Czech Pilsener,135
1673,0.057,68.0,711,Over the Rail Pale Ale,American Pale Ale (APA),135
1674,0.058,21.0,188,Pallavicini Pilsner (2009),Czech Pilsener,135
1675,0.059,14.0,130,Morning Wood Wheat (Current),American Pale Wheat Ale,135
1676,0.052000000000000005,18.0,399,Pyramid Hefeweizen (2011),Hefeweizen,544
1677,0.052000000000000005,18.0,82,Haywire Hefeweizen (2010),Hefeweizen,544
1678,0.045,35.0,2031,Golden Fleece,Belgian Pale Ale,246
1679,0.055,30.0,2030,Smoking Mirror,American Porter,246
1680,0.046,,2269,Rahr's Blonde,Munich Helles Lager,176
1681,0.058,60.0,2229,Pride of Texas Pale Ale,American Pale Ale (APA),176
1682,0.044,5.0,2370,18th Anniversary Gose,Gose,128
1683,0.046,25.0,2211,White (2015),Witbier,128
1684,0.099,85.0,1861,BLAKKR,American Black Ale,128
1685,0.051,21.0,1718,Firemans #4 Blonde Ale (2013),American Blonde Ale,128
1686,0.059,,1290,The Sword Iron Swan Ale,English Pale Ale,128
1687,0.053,52.0,1091,Hans' Pils (2015),German Pilsener,128
1688,0.06,50.0,1086,Four Squared (2015),American Blonde Ale,128
1689,0.051,21.0,830,Firemans #4 Blonde Ale (2015),American Blonde Ale,128
1690,0.07200000000000001,55.0,1021,Watership Brown Ale,American Brown Ale,475
1691,0.062,55.0,938,Gangway IPA,American IPA,475
1692,0.049,,715,Long Day Lager,Czech Pilsener,475
1693,0.051,17.0,2516,Farmer's Daughter Blonde,American Blonde Ale,68
1694,0.055,45.0,2515,Pump House IPA,American IPA,68
1695,0.07,,2514,Suicide Blonde IPA,Belgian IPA,68
1696,0.047,25.0,2513,Vanilla Porter,American Porter,68
1697,0.058,18.0,2512,Honey Rye,Rye Beer,68
1698,0.055,,1467,Happy Cider,Cider,403
