,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
302,0.045,,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380,Blue Blood Brewing Company,Lincoln, NE
303,0.056,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,Blue Blood Brewing Company,Lincoln, NE
304,0.056,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,Blue Blood Brewing Company,Lincoln, NE
305,0.056,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,Blue Blood Brewing Company,Lincoln, NE
306,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,Blue Blood Brewing Company,Lincoln, NE
307,0.059,,1372,Yellow Collar,Mead,422,Blue Dog Mead,Eugene, OR
308,0.059,,1371,Green Collar,Mead,422,Blue Dog Mead,Eugene, OR
309,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,Blue Hills Brewery,Canton, MA
310,0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,Blue Mountain Brewery,Afton, VA
311,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,Blue Mountain Brewery,Afton, VA
312,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,Blue Mountain Brewery,Afton, VA
313,0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,Blue Mountain Brewery,Afton, VA
314,0.049,16.0,1408,Kölsch 151,Kölsch,414,Blue Mountain Brewery,Arrington, VA
315,,,2490,Professor Black,American Stout,77,Blue Owl Brewing,Austin, TX
316,,,2489,Little Boss,American Pale Wheat Ale,77,Blue Owl Brewing,Austin, TX
317,,,2488,Van Dayum!,American Amber / Red Ale,77,Blue Owl Brewing,Austin, TX
318,,,2487,Spirit Animal,American Pale Ale (APA),77,Blue Owl Brewing,Austin, TX
319,0.07,,939,Toxic Sludge,American Black Ale,489,Blue Point Brewing Company,Patchogue, NY
320,0.06,40.0,692,Blue Point White IPA,American White IPA,489,Blue Point Brewing Company,Patchogue, NY
321,0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,Blue Point Brewing Company,Patchogue, NY
322,0.055,28.0,665,Toasted Lager,Vienna Lager,489,Blue Point Brewing Company,Patchogue, NY
323,0.06,,1607,Bohemian Export Lager,Dortmunder / Export Lager,364,Bohemian Brewery,Midvale, UT
324,0.053,,1597,Altus Bohemes Altbier,Altbier,364,Bohemian Brewery,Midvale, UT
325,0.04,,344,Cherny Bock,Schwarzbier,364,Bohemian Brewery,Midvale, UT
326,0.05,,89,Czech Pilsner,Czech Pilsener,364,Bohemian Brewery,Midvale, UT
327,0.05,,88,Viennese Lager,Vienna Lager,364,Bohemian Brewery,Midvale, UT
328,0.065,,1569,Mad Manatee IPA,American IPA,378,Bold City Brewery,Jacksonville, FL
329,0.055,,1568,Killer Whale Cream Ale,Cream Ale,378,Bold City Brewery,Jacksonville, FL
330,0.06,,1188,Duke's Cold Nose Brown Ale,American Brown Ale,378,Bold City Brewery,Jacksonville, FL
331,0.042,30.0,1891,Longhop IPA,American IPA,281,Bolero Snort Brewery,Ridgefield Park, NJ
332,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,Bolero Snort Brewery,Ridgefield Park, NJ
333,0.051,,577,Bomb Lager (New Recipe),Munich Helles Lager,525,Bomb Beer Company,New York, NY
334,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,Bomb Beer Company,New York, NY
335,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,Bonfire Brewing Company,Eagle, CO
